Type,Notes,Distance (miles) From Start,Elevation (ft),Description
Start,Start of route,0,0,
Right,Turn right onto W Fairgrounds Rd,0.29,782.81,
Left,Turn left onto W Forest Rd,1.02,781.50,
Straight,Continue onto S Van Brocklin Rd,2.75,890.09,
Left,Turn left onto S Bolton Rd,4.75,795.93,
Right,Turn right onto W Loran Rd,5.12,790.35,
Right,Turn right onto S Mill Grove Rd,8.18,841.86,
Left,Turn left onto W Block Rd,9.01,884.19,
Right,Turn right onto Main St/Rt73 *busy*,12.11,893.04,Turn right onto Main St/Rt73
Left,Turn left onto W Walgren Rd,12.36,852.69,
Right,Turn right onto S Lott Rd,13.37,892.39,
Left,Turn left onto W Walgren Rd,13.62,860.24,
Left,Turn left onto S Koch Rd,14.42,987.20,
Right,Turn right onto W Lonesome Rd,15.03,970.14,
Right,Turn right onto S Kent Rd,17.42,768.37,
Left,Turn left onto W Clay Rd,17.68,770.34,
Left,Turn left onto E Clay Rd (past cemetery),18.85,951.12,
Left,Turn left onto S Flint Rd,19.49,1007.22,
Right,Turn right onto E Gerke Rd,20.96,905.18,
Left,E Gerke Rd turns left and becomes Beyer Rd,21.95,854.66,
Straight,"*Hidden stop sign, use caution*",22.69,839.90,
Straight,Becomes Switzer Rd,24.76,843.50,
Right,Turn right onto Slick Rd,25.41,715.55,
Left,Turn left onto Skunk Hollow Rd,26.44,741.47,
Right,Turn right onto Meyers Rd,28.19,648.95,
Right,Turn right onto Paul/Katzenberger Rd,29.95,850.72,
Right,Turn right onto Co Rd 11/A/E Loran Rd,31.66,735.24,
Straight,Continue onto S Fitzsimmons Rd,32.67,911.09,
Left,Left at Y in road to stay on Fitzsimmons. (House at Y),33.31,729.33,
Right,Turn right onto Co Rd 6/E Willow Rd,35.15,737.53,
Left,Slight left onto S Curtiss Rd,36.41,752.62,
Left,Turn left onto E Piroke/Parker Rd,37.95,1043.96,
Right,"Turn right onto S Ridge Rd
(sign says Randecker)",40.26,987.20,
Left,Turn left onto E Parker Rd/S Ridge Rd,41.21,846.13,
Right,Turn right onto S Ridge Rd,41.36,862.86,
Water,Checkpoint,42.32,777.56,
Left,Turn left(West) onto E Morseville Rd,42.32,777.56,
Right,Turn right onto Co Rd 10/S Massbach Rd,46.18,1012.14,
